"","name","type","class","min","max","unique"
"week_num","week_num","integer","integer","   1","        53","  12"
"avg_price","avg_price","double","numeric","   0","    150393"," 139"
"min_price","min_price","double","numeric","   0","    112010"," 139"
"max_price","max_price","double","numeric","   0","    181007"," 139"
"occupied","occupied","integer","integer","   0","         8","   7"
"summary","summary","integer","factor","  NA","        NA","  NA"
"space","space","integer","factor","  NA","        NA","  NA"
"description","description","integer","factor","  NA","        NA","  NA"
"neighborhood_overview","neighborhood_overview","integer","factor","  NA","        NA","  NA"
"notes","notes","integer","factor","  NA","        NA","  NA"
"transit","transit","integer","factor","  NA","        NA","  NA"
"host_about","host_about","integer","factor","  NA","        NA","  NA"
"host_is_superhost","host_is_superhost","integer","factor","  NA","        NA","  NA"
"host_listings_count","host_listings_count","integer","integer","  NA","        NA","   1"
"host_total_listings_count","host_total_listings_count","integer","integer","  NA","        NA","   1"
"host_identity_verified","host_identity_verified","integer","factor","  NA","        NA","  NA"
"neighbourhood_cleansed","neighbourhood_cleansed","integer","factor","  NA","        NA","  NA"
"zipcode","zipcode","integer","factor","  NA","        NA","  NA"
"latitude","latitude","double","numeric","  38","        38","  38"
"longitude","longitude","double","numeric","-123","      -122","-122"
"is_location_exact","is_location_exact","integer","factor","  NA","        NA","  NA"
"property_type","property_type","integer","factor","  NA","        NA","  NA"
"room_type","room_type","integer","factor","  NA","        NA","  NA"
"accommodates","accommodates","integer","integer","   0","        16","   2"
"bathrooms","bathrooms","double","numeric","  NA","        NA","   1"
"bedrooms","bedrooms","integer","integer","  NA","        NA","   1"
"beds","beds","integer","integer","  NA","        NA","   1"
"bed_type","bed_type","integer","factor","  NA","        NA","  NA"
"amenities","amenities","integer","factor","  NA","        NA","  NA"
"price","price","double","numeric","   0","     30000"," 129"
"weekly_price","weekly_price","double","numeric","   0","     12500","   0"
"monthly_price","monthly_price","double","numeric","   0","     60000","   0"
"security_deposit","security_deposit","double","numeric","   0","      5150","   0"
"cleaning_fee","cleaning_fee","double","numeric","   0","      3000","   0"
"guests_included","guests_included","integer","integer","   0","        30","   1"
"extra_people","extra_people","double","numeric","   0","       300","   0"
"minimum_nights","minimum_nights","integer","integer","   1"," 100000000","   3"
"maximum_nights","maximum_nights","integer","integer","   1","2147483647","  26"
"number_of_reviews","number_of_reviews","integer","integer","   0","       771","  37"
"review_scores_rating","review_scores_rating","integer","integer","  NA","        NA"," 100"
"review_scores_accuracy","review_scores_accuracy","integer","integer","  NA","        NA","  10"
"review_scores_cleanliness","review_scores_cleanliness","integer","integer","  NA","        NA","  10"
"review_scores_checkin","review_scores_checkin","integer","integer","  NA","        NA","  10"
"review_scores_communication","review_scores_communication","integer","integer","  NA","        NA","  10"
"review_scores_location","review_scores_location","integer","integer","  NA","        NA","  10"
"review_scores_value","review_scores_value","integer","integer","  NA","        NA","  10"
"instant_bookable","instant_bookable","integer","factor","  NA","        NA","  NA"
"cancellation_policy","cancellation_policy","integer","factor","  NA","        NA","  NA"
"require_guest_profile_picture","require_guest_profile_picture","integer","factor","  NA","        NA","  NA"
"require_guest_phone_verification","require_guest_phone_verification","integer","factor","  NA","        NA","  NA"
"calculated_host_listings_count","calculated_host_listings_count","integer","integer","   1","       257","   1"
"reviews_per_month","reviews_per_month","double","numeric","  NA","        NA","   6"
"host_seniority","host_seniority","integer","integer","   0","       120","   4"
